Ville,Architecture,Terrain,Distance_côte,Climat,Eau_proche,Montagne,Taille,Points_intérêt,Grande_ville_proche,lat,lng
Beni Yakhlef,Traditionnelle,Plaine,20,Aride,Oued Oum Er-Rbia,Atlas,Petite,"Marché local, Mosquée",Mohammedia,33.6555,-7.3221
Al Khmissat,Traditionnelle,Plaine,60,Aride,Oued Sebou,Atlas,Petite,"Marché local, Mosquée",Rabat,33.8167,-6.0667
Sefrou,Traditionnelle,Montagne,150,Aride,Oued Aggaï,Moyen Atlas,Petite,"Cascade de Sefrou, Médina",Fès,33.83,-4.83
Oued Zem,Traditionnelle,Plaine,100,Aride,Oued Oum Er-Rbia,Atlas,Moyenne,"Marché local, Mosquée",Khouribga,32.8667,-6.5667
Azrou,Traditionnelle,Montagne,200,Aride,Oued Tizguit,Moyen Atlas,Petite,"Forêt de cèdres, Médina",Ifrane,33.4417,-5.2247
El Hajeb,Traditionnelle,Montagne,180,Aride,Oued Boufekrane,Moyen Atlas,Petite,"Kasbahs, Marché local",Meknès,33.6928,-5.3711
Sidi Yahya Zaer,Traditionnelle,Plaine,20,Aride,Oued Bouregreg,Atlas,Petite,"Marché local, Mosquée",Rabat,33.7105,-6.8831
Mrirt,Traditionnelle,Montagne,220,Aride,Oued Oum Er-Rbia,Moyen Atlas,Petite,"Marché local, Mosquée",Khenifra,33.1667,-5.5667
Skhirate,Moderne,Côtier,0,Méditerranéen,Océan Atlantique,Atlas,Petite,"Plages, Palais royal",Rabat,33.85,-7.03
Ain El Aouda,Moderne,Plaine,30,Aride,Oued Bouregreg,Atlas,Petite,"Zone résidentielle, Mosquée",Rabat,33.8111,-6.7922
Sale,Traditionnelle,Côtier,0,Méditerranéen,Océan Atlantique,Atlas,Grande,"Médina, Mosquées",Rabat,34.0333,-6.8
Temara,Moderne,Côtier,0,Méditerranéen,Océan Atlantique,Atlas,Moyenne,"Plages, Zones résidentielles",Rabat,33.9267,-6.9122
Rabat,Moderne,Côtier,0,Méditerranéen,Océan Atlantique,Atlas,Grande,"Tour Hassan, Kasbah des Oudayas",Rabat,34.0209,-6.8416
Bouknadel,Moderne,Côtier,0,Méditerranéen,Océan Atlantique,Atlas,Petite,"Jardin exotique, Plages",Rabat,34.1333,-6.7333
Mehdya,Traditionnelle,Côtier,0,Méditerranéen,Océan Atlantique,Atlas,Petite,"Plage, Fort portugais",Kenitra,34.2597,-6.65
Kenitra,Moderne,Côtier,0,Méditerranéen,Océan Atlantique,Atlas,Grande,"Port, Université Ibn Tofail",Kenitra,34.25,-6.5833
Meknès,Traditionnelle,Plaine,150,Aride,Oued Boufekrane,Moyen Atlas,Grande,"Médina, Bab Mansour",Meknès,33.895,-5.5547
Aïn Taoujdat,Traditionnelle,Plaine,170,Aride,Oued Boufekrane,Moyen Atlas,Petite,"Marché local, Mosquée",Meknès,33.9333,-5.2167
Oulad Tayeb,Traditionnelle,Plaine,160,Aride,Oued Boufekrane,Moyen Atlas,Petite,"Marché local, Mosquée",Fès,33.9598,-4.9954
Fès,Traditionnelle,Plaine,180,Aride,Oued Fès,Moyen Atlas,Grande,"Médina, Université Al Quaraouiyine",Fès,34.0433,-5.0033
Sidi Qacem,Traditionnelle,Plaine,200,Aride,Oued Sebou,Atlas,Moyenne,"Marché local, Mosquée",Kenitra,34.2167,-5.7
Moulay Bousselham,Traditionnelle,Côtier,0,Méditerranéen,Lagune de Merja Zerga,Atlas,Petite,"Plage, Réserve naturelle",Kenitra,34.8786,-6.2933
Souk et Tnine Jorf el Mellah,Traditionnelle,Plaine,50,Aride,Oued Mellah,Atlas,Petite,"Marché local, Mosquée",Casablanca,34.4833,-5.5169
Taza,Traditionnelle,Montagne,250,Aride,Oued Inaouen,Moyen Atlas,Moyenne,"Gorges de Tazekka, Médina",Fès,34.2167,-4.0167
Guercif,Traditionnelle,Plaine,300,Aride,Oued Moulouya,Atlas,Petite,"Marché local, Mosquée",Taza,34.2333,-3.3667
Imzouren,Traditionnelle,Montagne,0,Méditerranéen,Méditerranée,Rif,Petite,"Plages, Mosquées",Al Hoceïma,35.15,-3.85
Taourirt,Traditionnelle,Plaine,350,Aride,Oued Ziz,Atlas,Moyenne,"Kasbahs, Marché local",Oujda,34.4169,-2.885
El Aïoun,Traditionnelle,Plaine,400,Aride,Oued Moulouya,Atlas,Petite,"Marché local, Mosquée",Oujda,34.5852,-2.5056
Oujda-Angad,Moderne,Plaine,450,Aride,Oued Isly,Atlas,Grande,"Médina, Université Mohammed I",Oujda,34.6867,-1.9114
Larache,Traditionnelle,Côtier,0,Méditerranéen,Océan Atlantique,Rif,Moyenne,"Port, Médina",Larache,35.1833,-6.15
Tétouan,Traditionnelle,Côtier,0,Méditerranéen,Océan Atlantique,Rif,Grande,"Médina, Musée archéologique",Tétouan,35.5667,-5.3667
Tangier,Moderne,Côtier,0,Méditerranéen,Océan Atlantique,Rif,Grande,"Cap Spartel, Médina",Tangier,35.7767,-5.8039
Martil,Moderne,Côtier,0,Méditerranéen,Océan Atlantique,Rif,Petite,"Plages, Université Abdelmalek Essaâdi",Tétouan,35.6167,-5.2667
M'diq,Moderne,Côtier,0,Méditerranéen,Océan Atlantique,Rif,Petite,"Port, Plages",Tétouan,35.6858,-5.3253
Al Aaroui,Moderne,Plaine,20,Méditerranéen,Méditerranée,Rif,Petite,"Marché local, Mosquée",Nador,35.0029,-3.0311
Al Hoceïma,Traditionnelle,Côtier,0,Méditerranéen,Océan Atlantique,Rif,Petite,"Plages de Quemado et Sfiha, Parc national d'Al Hoceïma",Nador,35.2472,-3.9322
Berkane,Traditionnelle,Plaine,30,Méditerranéen,Oued Moulouya,Rif,Petite,"Marché local, Mosquée",Nador,34.9167,-2.3167
Nador,Moderne,Côtier,0,Méditerranéen,Lac Marchica,Rif,Grande,"Port, Plages",Nador,35.1667,-2.9333
Iheddadene,Traditionnelle,Plaine,10,Méditerranéen,Lac Marchica,Rif,Petite,"Quartier résidentiel, Mosquée",Nador,35.15,-2.9667
Zeghanghane,Traditionnelle,Plaine,50,Aride,Oued Moulouya,Rif,Petite,"Marché local, Mosquée",Nador,35.15,-3.0
